"job_id","job_role","industry","country","year","automation_risk_percent","ai_replacement_score","skill_gap_index","salary_before_usd","salary_after_usd","salary_change_percent","skill_demand_growth_percent","remote_feasibility_score","ai_adoption_level","education_requirement_level","automation_risk_category","skill_transition_pressure","wage_volatility_index","reskilling_urgency_score","ai_disruption_intensity","risk_tier","safe_zone_flag","salary_direction"
10,"HR Manager","Education","Germany",2025,"33.16","27.37","31.10","69022.00","74630.21","8.13","18.56","89.85","47.22",1,"Medium","32.13","8.13","25.03","15.6582","Low","Safe Zone","Growing"
11,"Software Engineer","Manufacturing","Canada",2020,"8.37","9.09","76.08","97353.26","97004.49","-0.36","20.65","57.05","42.75",2,"Low","42.23","0.36","26.28","3.5782","Low","Transitional","Declining"
12,"Data Analyst","Transportation","Canada",2023,"5.00","4.22","3.14","106369.25","107345.30","0.92","-14.88","91.68","24.93",3,"Low","4.07","0.92","3.22","1.2465","Low","Transitional","Growing"
13,"Accountant","Education","Australia",2021,"38.73","42.69","22.88","39237.59","36065.26","-8.08","-0.02","93.67","80.81",3,"Medium","30.81","8.08","24.78","31.2977","Low","Transitional","Declining"
14,"Data Analyst","Healthcare","Brazil",2025,"44.34","50.93","80.37","52388.41","52896.98","0.97","14.69","82.67","89.61",2,"Medium","62.36","0.97","42.14","39.7331","Moderate","Transitional","Growing"
15,"Accountant","Energy","Singapore",2022,"32.26","27.23","22.79","81252.93","83659.00","2.96","7.61","10.63","51.07",5,"Medium","27.53","2.96","20.63","16.4752","Low","Safe Zone","Growing"
16,"Customer Support Rep","Education","USA",2021,"54.22","48.19","11.99","70513.82","69376.53","-1.61","9.04","56.69","70.30",1,"Medium","33.11","1.61","25.77","38.1167","Moderate","Transitional","Declining"
17,"Mechanical Engineer","Transportation","Canada",2020,"35.45","42.14","96.24","60213.88","48660.21","-19.19","4.73","35.64","3.69",2,"Medium","65.85","19.19","48.81","1.3081","Low","Transitional","Declining"
18,"Marketing Specialist","Education","Germany",2025,"52.67","52.73","5.15","63437.58","62217.28","-1.92","8.02","23.04","48.95",4,"Medium","28.91","1.92","23.19","25.7820","Moderate","Transitional","Declining"
19,"Teacher","Energy","UK",2022,"79.00","70.84","67.21","121394.35","130997.04","7.91","-4.09","43.10","63.23",2,"High","73.10","7.91","54.14","49.9517","High","High Risk","Growing"
20,"Customer Support Rep","Retail","Singapore",2024,"69.35","70.34","9.03","130236.30","117335.92","-9.91","-0.66","13.67","59.09",4,"High","39.19","9.91","33.42","40.9789","Moderate","Transitional","Declining"
21,"Mechanical Engineer","Manufacturing","UK",2024,"57.43","46.32","51.21","57179.49","51105.29","-10.62","9.74","72.18","38.67",4,"Medium","54.32","10.62","41.52","22.2082","Moderate","Transitional","Declining"
22,"Data Analyst","Technology","India",2021,"65.57","56.06","34.11","43616.82","47165.13","8.14","-7.31","83.55","55.52",2,"High","49.84","8.14","38.90","36.4045","Moderate","Transitional","Growing"
23,"Teacher","Finance","Singapore",2023,"47.08","42.21","9.31","137665.89","141243.59","2.60","12.82","40.51","34.92",5,"Medium","28.20","2.60","22.41","16.4403","Moderate","Transitional","Growing"
24,"Truck Driver","Retail","Brazil",2026,"75.82","87.86","88.71","123585.07","115180.98","-6.80","7.32","24.55","89.86",1,"High","82.26","6.80","58.98","68.1319","High","High Risk","Declining"
25,"Data Analyst","Retail","Australia",2020,"42.45","34.12","10.15","109620.21","130072.87","18.66","9.74","68.68","22.43",3,"Medium","26.30","18.66","25.62","9.5215","Moderate","Transitional","Growing"
26,"Teacher","Healthcare","Japan",2020,"59.85","53.56","32.54","119578.97","131098.92","9.63","9.13","69.19","56.83",3,"Medium","46.20","9.63","36.59","34.0128","Moderate","Transitional","Growing"
27,"Financial Analyst","Healthcare","Brazil",2020,"16.56","15.68","26.52","59278.76","58821.71","-0.77","8.41","90.28","63.11",3,"Low","21.54","0.77","14.81","10.4510","Low","Transitional","Declining"
28,"Financial Analyst","Manufacturing","UK",2022,"65.64","65.71","57.69","89102.12","94676.95","6.26","-3.57","35.27","2.43",2,"High","61.67","6.26","45.44","1.5951","Moderate","Transitional","Growing"
29,"Financial Analyst","Technology","Australia",2023,"55.18","48.06","94.05","144471.43","141243.03","-2.23","12.14","11.39","92.83",1,"Medium","74.62","2.23","50.96","51.2236","Moderate","Transitional","Declining"
30,"Data Analyst","Education","Canada",2021,"29.97","35.57","96.36","132361.13","121152.88","-8.47","-10.15","86.60","31.69",1,"Low","63.17","8.47","43.44","9.4975","Low","Transitional","Declining"
31,"Customer Support Rep","Finance","India",2025,"36.86","37.70","93.62","113523.58","103489.71","-8.84","6.54","65.35","99.01",4,"Medium","65.24","8.84","45.48","36.4951","Low","Transitional","Declining"
32,"Data Analyst","Healthcare","UK",2025,"9.81","9.88","87.74","118892.23","131768.87","10.83","15.54","42.35","29.36",4,"Low","48.78","10.83","33.50","2.8802","Low","Safe Zone","Growing"
33,"Financial Analyst","Healthcare","Canada",2024,"66.66","74.92","86.71","139588.87","146778.36","5.15","43.53","81.85","65.00",5,"High","76.69","5.15","54.22","43.3290","Moderate","Transitional","Growing"
34,"Teacher","Manufacturing","Brazil",2026,"59.14","66.13","89.00","70559.42","65106.41","-7.73","2.63","62.05","3.59",2,"Medium","74.07","7.73","52.68","2.1231","Moderate","Transitional","Declining"
35,"HR Manager","Transportation","Australia",2023,"42.59","43.32","28.65","100899.99","96138.20","-4.72","15.89","21.44","52.22",5,"Medium","35.62","4.72","27.05","22.2405","Moderate","Transitional","Declining"
36,"Truck Driver","Finance","Germany",2021,"78.90","69.93","62.29","40241.70","40425.08","0.46","-1.52","58.66","63.74",1,"High","70.60","0.46","50.39","50.2909","High","High Risk","Growing"
37,"Mechanical Engineer","Technology","Brazil",2021,"60.83","72.40","51.63","68754.78","64204.68","-6.62","13.52","49.51","7.85",5,"High","56.23","6.62","41.81","4.7752","Moderate","Transitional","Declining"
38,"Customer Support Rep","Technology","India",2025,"26.77","31.73","83.60","113516.90","99891.51","-12.00","1.65","24.08","25.02",1,"Low","55.18","12.00","39.39","6.6979","Low","Transitional","Declining"
39,"Customer Support Rep","Finance","USA",2026,"63.45","68.89","66.02","63592.07","77087.30","21.22","15.32","47.76","24.77",3,"High","64.74","21.22","51.55","15.7166","Moderate","Transitional","Growing"
40,"Data Analyst","Manufacturing","Canada",2025,"24.92","27.49","1.44","43928.72","45878.36","4.44","12.75","52.68","9.78",4,"Low","13.18","4.44","11.73","2.4372","Low","Safe Zone","Growing"
41,"Customer Support Rep","Healthcare","Japan",2021,"59.41","58.78","17.32","82062.20","95458.12","16.32","-9.30","67.16","4.53",4,"Medium","38.36","16.32","33.86","2.6913","Moderate","Transitional","Growing"
42,"Teacher","Manufacturing","India",2020,"36.22","38.05","50.31","132778.78","119746.43","-9.82","9.62","16.35","64.24",4,"Medium","43.27","9.82","32.53","23.2677","Low","Transitional","Declining"
43,"Mechanical Engineer","Transportation","Singapore",2023,"11.86","12.26","94.02","99056.90","114767.49","15.86","-7.38","51.24","54.56",1,"Low","52.94","15.86","37.71","6.4708","Low","Transitional","Growing"
44,"Data Analyst","Technology","Singapore",2025,"65.90","62.90","96.12","138642.08","142537.81","2.81","-1.23","16.41","31.90",3,"High","81.01","2.81","56.04","21.0221","Moderate","Transitional","Growing"
45,"Data Analyst","Manufacturing","Germany",2021,"59.14","47.86","81.45","63822.57","66101.14","3.57","-1.93","66.60","87.75",5,"Medium","70.30","3.57","49.16","51.8954","Moderate","Transitional","Growing"
46,"Truck Driver","Healthcare","Singapore",2021,"76.45","85.74","28.20","51292.75","55125.82","7.47","11.10","99.15","41.26",3,"High","52.33","7.47","41.28","31.5433","High","High Risk","Growing"
47,"Truck Driver","Manufacturing","India",2023,"51.04","56.68","34.08","141690.88","138606.53","-2.18","15.99","77.58","75.45",5,"Medium","42.56","2.18","31.29","38.5097","Moderate","Transitional","Declining"
48,"Data Analyst","Technology","Brazil",2026,"7.22","8.38","50.53","129174.90","137984.02","6.82","1.90","45.03","1.08",1,"Low","28.88","6.82","20.09","0.0780","Low","Safe Zone","Growing"
49,"Data Analyst","Manufacturing","UK",2023,"63.38","53.02","31.93","144007.44","145404.25","0.97","10.95","66.87","44.84",4,"High","47.66","0.97","35.22","28.4196","Moderate","Transitional","Growing"
50,"Truck Driver","Manufacturing","Singapore",2020,"45.52","42.40","67.25","120284.94","127792.17","6.24","11.28","18.21","49.44",2,"Medium","56.39","6.24","40.26","22.5051","Moderate","Transitional","Growing"
51,"Teacher","Technology","Singapore",2022,"14.03","14.31","44.15","136524.50","125254.44","-8.25","1.79","22.87","76.15",4,"Low","29.09","8.25","21.33","10.6838","Low","Transitional","Declining"
52,"HR Manager","Transportation","Brazil",2025,"53.28","44.78","8.41","114116.30","108740.98","-4.71","7.32","17.64","98.66",4,"Medium","30.85","4.71","25.25","52.5660","Moderate","Transitional","Declining"
53,"Accountant","Manufacturing","Canada",2021,"36.20","34.33","81.28","143669.83","133347.95","-7.18","2.87","79.94","55.84",1,"Medium","58.74","7.18","41.02","20.2141","Low","Transitional","Declining"
54,"Marketing Specialist","Technology","Australia",2020,"39.70","46.15","11.12","89115.01","88950.03","-0.19","2.11","15.07","11.88",1,"Medium","25.41","0.19","19.27","4.7164","Low","Transitional","Declining"
55,"Marketing Specialist","Energy","Brazil",2026,"18.23","19.31","74.60","100004.25","98916.60","-1.09","9.02","35.71","86.86",5,"Low","46.42","1.09","30.00","15.8346","Low","Transitional","Declining"
56,"Accountant","Technology","Brazil",2020,"25.65","30.40","1.22","146385.46","149665.85","2.24","5.13","16.64","55.39",2,"Low","13.43","2.24","11.30","14.2075","Low","Safe Zone","Growing"
57,"Data Analyst","Finance","Germany",2023,"67.85","68.48","62.94","113489.84","137926.28","21.53","-2.67","62.59","90.12",1,"High","65.40","21.53","52.48","61.1464","Moderate","Transitional","Growing"
58,"Marketing Specialist","Manufacturing","USA",2024,"13.18","12.03","95.04","136831.65","166795.09","21.90","-3.08","34.96","18.81",1,"Low","54.11","21.90","40.35","2.4792","Low","Transitional","Growing"
59,"Teacher","Education","Canada",2021,"42.46","39.97","58.37","39328.16","40672.22","3.42","23.76","37.86","81.38",3,"Medium","50.42","3.42","35.52","34.5539","Moderate","Transitional","Growing"
60,"Customer Support Rep","Retail","Singapore",2021,"72.93","63.09","91.09","128704.47","111712.48","-13.20","23.31","93.95","86.61",3,"High","82.01","13.20","60.46","63.1647","High","High Risk","Declining"
61,"Truck Driver","Education","India",2020,"28.17","22.83","37.65","127266.40","105463.95","-17.13","18.54","97.29","84.21",4,"Low","32.91","17.13","27.70","23.7220","Low","Transitional","Declining"
62,"Marketing Specialist","Finance","India",2024,"68.68","67.82","41.48","62808.85","62841.78","0.05","5.47","79.21","94.48",2,"High","55.08","0.05","39.93","64.8889","Moderate","Transitional","Growing"
63,"Financial Analyst","Retail","UK",2022,"69.48","62.45","45.05","45499.13","46046.46","1.20","10.14","30.58","67.17",1,"High","57.27","1.20","41.67","46.6697","Moderate","Transitional","Growing"
64,"Customer Support Rep","Education","Canada",2021,"68.27","64.40","11.36","110588.78","127742.78","15.51","6.16","56.81","85.22",4,"High","39.82","15.51","35.37","58.1797","Moderate","Transitional","Growing"
65,"Financial Analyst","Retail","Brazil",2020,"48.63","49.82","87.67","78417.94","83478.85","6.45","18.69","73.37","21.30",5,"Medium","68.15","6.45","47.69","10.3582","Moderate","Transitional","Growing"
66,"HR Manager","Finance","UK",2022,"19.55","15.75","35.06","100790.12","88864.05","-11.83","-15.39","91.37","34.83",1,"Low","27.31","11.83","21.89","6.8093","Low","Transitional","Declining"
67,"Data Analyst","Healthcare","Canada",2022,"35.98","40.06","39.65","104650.40","86824.44","-17.03","4.44","51.32","98.00",5,"Medium","37.82","17.03","31.40","35.2604","Low","Transitional","Declining"
68,"Customer Support Rep","Education","Germany",2025,"59.48","55.41","63.34","58817.47","60973.71","3.67","-4.40","26.37","34.57",3,"Medium","61.41","3.67","43.89","20.5622","Moderate","Transitional","Growing"
69,"Financial Analyst","Energy","Canada",2026,"72.78","72.02","66.76","50678.38","47991.12","-5.30","-2.93","25.93","8.87",1,"High","69.77","5.30","50.73","6.4556","High","High Risk","Declining"
70,"Data Analyst","Transportation","Canada",2020,"8.44","8.31","20.63","73712.38","88194.84","19.65","5.35","13.54","79.94",1,"Low","14.54","19.65","15.46","6.7469","Low","Safe Zone","Growing"
71,"Mechanical Engineer","Healthcare","Canada",2021,"53.95","44.93","87.36","140504.69","138926.43","-1.12","2.79","82.56","74.83",4,"Medium","70.66","1.12","48.12","40.3708","Moderate","Transitional","Declining"
72,"Financial Analyst","Transportation","Brazil",2020,"22.92","20.25","37.05","88142.76","74787.45","-15.15","18.67","51.63","74.75",1,"Low","29.99","15.15","24.83","17.1327","Low","Transitional","Declining"
73,"Data Analyst","Healthcare","Brazil",2020,"5.00","4.50","71.33","137424.82","179736.28","30.79","16.20","19.65","44.74",3,"Low","38.17","30.79","32.64","2.2370","Low","Safe Zone","Growing"
74,"Marketing Specialist","Healthcare","Singapore",2021,"47.28","42.41","26.92","75274.10","70407.08","-6.47","-5.82","20.78","89.05",1,"Medium","37.10","6.47","28.93","42.1028","Moderate","Transitional","Declining"
75,"HR Manager","Education","USA",2022,"51.55","55.24","78.92","89813.06","90507.93","0.77","-3.61","62.82","74.54",2,"Medium","65.24","0.77","44.53","38.4254","Moderate","Transitional","Growing"
76,"Customer Support Rep","Finance","Australia",2026,"55.22","46.99","28.38","73569.88","80383.75","9.26","24.09","42.05","98.65",5,"Medium","41.80","9.26","33.38","54.4745","Moderate","Transitional","Growing"
77,"Teacher","Healthcare","Germany",2026,"52.40","46.90","10.18","48343.10","45197.69","-6.51","0.13","26.79","28.51",2,"Medium","31.29","6.51","25.97","14.9392","Moderate","Transitional","Declining"
78,"Accountant","Transportation","USA",2021,"22.14","25.65","8.02","92941.37","95455.03","2.70","4.50","20.08","39.79",3,"Low","15.08","2.70","12.07","8.8095","Low","Safe Zone","Growing"
79,"Teacher","Manufacturing","Canada",2021,"77.86","89.25","81.71","60948.34","64001.35","5.01","-4.78","93.64","55.68",1,"High","79.79","5.01","57.16","43.3524","High","High Risk","Growing"
80,"Teacher","Technology","Japan",2021,"50.01","45.61","76.95","52445.25","48442.32","-7.63","-13.05","55.68","24.24",2,"Medium","63.48","7.63","45.38","12.1224","Moderate","Transitional","Declining"
81,"Truck Driver","Education","Canada",2026,"33.04","34.50","28.86","99748.59","99089.45","-0.66","-7.11","57.93","5.18",2,"Medium","30.95","0.66","22.07","1.7115","Low","Transitional","Declining"
82,"Customer Support Rep","Technology","Germany",2023,"48.56","41.46","6.34","148795.23","163768.38","10.06","-0.77","32.92","68.15",3,"Medium","27.45","10.06","24.34","33.0936","Moderate","Transitional","Growing"
83,"HR Manager","Finance","Canada",2022,"63.22","65.63","47.16","79420.91","84004.07","5.77","2.97","84.76","96.50",5,"High","55.19","5.77","41.17","61.0073","Moderate","Transitional","Growing"
84,"Teacher","Education","USA",2020,"18.70","20.43","93.83","51747.97","52196.05","0.87","3.44","61.70","84.18",3,"Low","56.27","0.87","35.89","15.7417","Low","Safe Zone","Growing"
85,"Accountant","Retail","USA",2020,"19.78","22.12","20.16","49638.71","51596.72","3.94","0.79","69.87","52.31",5,"Low","19.97","3.94","15.14","10.3469","Low","Safe Zone","Growing"
86,"Teacher","Education","Australia",2023,"35.12","40.42","39.24","127991.93","101905.58","-20.38","-5.08","51.64","30.14",5,"Medium","37.18","20.38","31.93","10.5852","Low","Transitional","Declining"
87,"Financial Analyst","Finance","Singapore",2024,"62.33","62.40","23.22","137948.95","149390.51","8.29","-17.11","91.58","62.42",2,"High","42.78","8.29","34.39","38.9064","Moderate","Transitional","Growing"
88,"HR Manager","Technology","Singapore",2020,"18.18","21.38","62.77","70188.67","72564.54","3.38","0.85","65.81","53.35",5,"Low","40.48","3.38","27.12","9.6990","Low","Safe Zone","Growing"
89,"Financial Analyst","Manufacturing","Australia",2023,"72.57","80.95","15.17","67406.65","73003.66","8.30","-3.56","13.02","56.99",1,"High","43.87","8.30","36.07","41.3576","High","High Risk","Growing"
90,"Mechanical Engineer","Education","India",2025,"63.37","72.92","34.21","128550.88","125081.61","-2.70","-4.79","81.76","14.99",3,"High","48.79","2.70","36.42","9.4992","Moderate","Transitional","Declining"
91,"Financial Analyst","Retail","Singapore",2022,"26.05","28.36","72.00","106937.72","111358.89","4.13","23.77","32.66","34.57",4,"Low","49.03","4.13","33.26","9.0055","Low","Safe Zone","Growing"
92,"HR Manager","Healthcare","Germany",2023,"22.71","26.42","58.34","78102.17","83212.91","6.54","4.44","23.80","58.62",4,"Low","40.53","6.54","28.55","13.3126","Low","Safe Zone","Growing"
93,"Accountant","Retail","Singapore",2024,"45.41","47.44","1.81","134654.87","136127.92","1.09","12.26","72.70","92.25",1,"Medium","23.61","1.09","19.03","41.8907","Moderate","Transitional","Growing"
94,"HR Manager","Retail","Germany",2023,"59.51","51.24","57.63","102805.81","119184.69","15.93","-0.11","94.09","92.56",5,"Medium","58.57","15.93","45.87","55.0825","Moderate","Transitional","Growing"
95,"Marketing Specialist","Education","Japan",2023,"41.56","35.13","98.48","130667.77","131395.92","0.56","15.94","63.21","39.90",4,"Medium","70.02","0.56","46.34","16.5824","Moderate","Transitional","Growing"
96,"Customer Support Rep","Energy","UK",2025,"28.83","26.93","80.29","30555.84","27463.27","-10.12","-11.55","58.37","91.99",1,"Low","54.56","10.12","38.66","26.5207","Low","Transitional","Declining"
97,"HR Manager","Education","India",2026,"34.24","32.15","73.75","84266.15","82078.68","-2.60","-10.03","22.68","17.64",2,"Medium","54.00","2.60","36.60","6.0399","Low","Transitional","Declining"
98,"HR Manager","Manufacturing","Germany",2021,"44.89","43.43","91.48","73487.27","87074.74","18.49","16.27","11.18","66.35",1,"Medium","68.19","18.49","50.95","29.7845","Moderate","Transitional","Growing"
99,"Software Engineer","Manufacturing","Japan",2024,"12.46","14.76","14.87","79754.89","100278.70","25.73","5.59","16.04","75.00",1,"Low","13.67","25.73","17.16","9.3450","Low","Safe Zone","Growing"
100,"Truck Driver","Transportation","Germany",2025,"39.69","46.01","20.51","52882.53","52709.32","-0.33","-0.43","60.84","6.57",4,"Medium","30.10","0.33","22.13","2.6076","Low","Transitional","Declining"
101,"Truck Driver","Transportation","Germany",2021,"79.29","77.81","52.44","82891.53","93220.52","12.46","-15.73","23.97","18.19",1,"High","65.87","12.46","51.19","14.4229","High","High Risk","Growing"
102,"Data Analyst","Transportation","Germany",2021,"60.32","71.09","37.33","62489.36","55549.44","-11.11","22.52","12.28","15.62",5,"High","48.83","11.11","38.66","9.4220","Moderate","Transitional","Declining"
103,"Truck Driver","Technology","Brazil",2021,"75.12","79.89","2.71","56636.66","60723.97","7.22","-6.29","11.77","10.41",1,"High","38.92","7.22","33.03","7.8200","High","High Risk","Growing"
104,"Truck Driver","Healthcare","Japan",2025,"80.99","70.58","65.27","58581.93","57174.06","-2.40","1.25","75.00","85.57",5,"High","73.13","2.40","52.70","69.3031","High","High Risk","Declining"
105,"Financial Analyst","Education","Japan",2024,"68.12","65.31","66.81","54598.12","57836.34","5.93","1.90","11.17","8.55",5,"High","67.47","5.93","49.07","5.8243","Moderate","Transitional","Growing"
106,"Teacher","Energy","UK",2025,"24.55","19.90","18.14","99964.99","109202.02","9.24","3.15","83.57","34.18",4,"Low","21.35","9.24","18.03","8.3912","Low","Safe Zone","Growing"
107,"Truck Driver","Retail","Germany",2026,"43.16","41.08","59.03","62167.64","54207.51","-12.80","22.55","59.68","43.61",3,"Medium","51.10","12.80","38.81","18.8221","Moderate","Transitional","Declining"
108,"Financial Analyst","Energy","Germany",2022,"30.61","36.10","76.36","46813.58","46637.40","-0.38","16.03","90.51","79.99",4,"Medium","53.49","0.38","35.27","24.4849","Low","Transitional","Declining"
109,"Data Analyst","Retail","Germany",2022,"29.76","24.08","26.87","94996.11","82188.87","-13.48","12.43","22.54","83.49",3,"Low","28.32","13.48","24.01","24.8466","Low","Transitional","Declining"
110,"Mechanical Engineer","Finance","UK",2021,"78.91","79.72","17.17","62676.88","63904.38","1.96","-4.78","34.66","55.42",2,"High","48.04","1.96","37.30","43.7319","High","High Risk","Growing"
111,"Teacher","Healthcare","Germany",2020,"55.60","62.93","20.64","31319.50","32121.37","2.56","14.83","64.05","66.50",4,"Medium","38.12","2.56","29.20","36.9740","Moderate","Transitional","Growing"
112,"Teacher","Education","Brazil",2023,"22.28","25.97","41.88","75976.62","71229.46","-6.25","5.26","24.97","73.80",4,"Low","32.08","6.25","23.35","16.4426","Low","Transitional","Declining"
113,"Software Engineer","Manufacturing","Singapore",2023,"5.80","6.04","24.53","76715.47","69632.85","-9.23","-8.52","74.71","29.71",5,"Low","15.17","9.23","12.45","1.7232","Low","Transitional","Declining"
114,"Software Engineer","Transportation","Japan",2020,"39.65","39.27","66.37","142419.57","130194.87","-8.58","12.00","12.81","26.23",3,"Medium","53.01","8.58","38.35","10.4002","Low","Transitional","Declining"
115,"HR Manager","Transportation","Singapore",2024,"51.66","42.39","49.64","101621.14","113300.19","11.49","-2.03","19.59","7.51",5,"Medium","50.65","11.49","39.00","3.8797","Moderate","Transitional","Growing"
116,"Marketing Specialist","Manufacturing","Japan",2021,"60.97","60.86","68.84","82179.28","87995.54","7.08","-0.62","81.95","69.47",3,"High","64.91","7.08","47.16","42.3559","Moderate","Transitional","Growing"
117,"Teacher","Energy","USA",2023,"29.05","30.10","36.10","40989.85","40684.75","-0.74","11.21","26.66","54.19",3,"Low","32.58","0.74","22.67","15.7422","Low","Transitional","Declining"
118,"Teacher","Healthcare","Japan",2021,"71.11","77.71","80.66","109054.00","118148.26","8.34","9.59","32.47","48.94",5,"High","75.88","8.34","55.14","34.8012","High","High Risk","Growing"
119,"Financial Analyst","Technology","Singapore",2024,"25.48","30.46","94.41","34731.22","36223.33","4.30","7.08","26.25","56.79",5,"Low","59.95","4.30","39.81","14.4701","Low","Safe Zone","Growing"
120,"Software Engineer","Finance","Singapore",2021,"64.08","52.14","69.74","65681.88","65422.08","-0.40","11.82","87.58","84.45",4,"High","66.91","0.40","46.67","54.1156","Moderate","Transitional","Declining"
121,"Accountant","Technology","Canada",2023,"32.34","36.59","3.70","101552.39","97139.97","-4.34","1.91","16.93","69.63",3,"Medium","18.02","4.34","15.35","22.5183","Low","Transitional","Declining"
122,"Customer Support Rep","Energy","Australia",2022,"48.79","53.18","6.54","67834.84","77650.39","14.47","6.97","38.69","62.59",4,"Medium","27.67","14.47","25.82","30.5377","Moderate","Transitional","Growing"
123,"HR Manager","Transportation","Canada",2026,"72.02","75.36","23.30","32928.09","33199.04","0.82","15.65","94.52","79.88",1,"High","47.66","0.82","36.04","57.5296","High","High Risk","Growing"
124,"Truck Driver","Technology","Brazil",2020,"94.86","89.19","76.72","78231.71","96216.38","22.99","1.37","88.63","98.41",3,"High","85.79","22.99","67.86","93.3517","High","High Risk","Growing"
125,"Customer Support Rep","Finance","USA",2026,"78.78","76.19","42.14","118509.88","113530.25","-4.20","2.18","41.92","28.72",1,"High","60.46","4.20","45.41","22.6256","High","High Risk","Declining"
126,"Customer Support Rep","Manufacturing","USA",2024,"45.74","40.87","4.21","32144.87","32033.38","-0.35","7.34","44.59","67.96",2,"Medium","24.98","0.35","19.66","31.0849","Moderate","Transitional","Declining"
127,"Customer Support Rep","Healthcare","Japan",2025,"40.28","47.53","78.63","40729.32","44738.40","9.84","2.86","95.03","46.74",1,"Medium","59.46","9.84","42.65","18.8269","Moderate","Transitional","Growing"
128,"Marketing Specialist","Manufacturing","Japan",2025,"52.94","45.89","99.12","57800.60","58762.71","1.66","9.92","64.70","51.27",3,"Medium","76.03","1.66","51.41","27.1423","Moderate","Transitional","Growing"
129,"Mechanical Engineer","Healthcare","India",2026,"26.15","22.76","22.05","52372.59","49034.43","-6.37","16.89","15.21","96.91",2,"Low","24.10","6.37","18.99","25.3420","Low","Transitional","Declining"
130,"HR Manager","Finance","USA",2022,"71.87","84.16","99.49","50867.43","58093.17","14.21","-0.71","72.64","15.39",5,"High","85.68","14.21","62.86","11.0608","High","High Risk","Growing"
131,"Teacher","Transportation","Germany",2020,"67.11","59.71","22.38","94436.93","109051.09","15.48","22.96","18.23","87.75",5,"High","44.75","15.48","38.20","58.8890","Moderate","Transitional","Growing"
132,"Customer Support Rep","Finance","Canada",2026,"43.59","37.13","88.87","144678.18","148814.03","2.86","8.34","68.97","55.09",5,"Medium","66.23","2.86","44.96","24.0137","Moderate","Transitional","Growing"
133,"Data Analyst","Technology","Australia",2024,"6.09","5.87","37.27","61170.45","60967.81","-0.33","22.95","17.29","22.02",4,"Low","21.68","0.33","13.72","1.3410","Low","Transitional","Declining"
134,"Mechanical Engineer","Finance","Brazil",2025,"57.83","48.02","85.12","89417.58","112012.80","25.27","-0.31","84.22","34.78",3,"Medium","71.48","25.27","56.25","20.1133","Moderate","Transitional","Growing"
135,"Software Engineer","Transportation","Japan",2020,"47.46","48.71","26.70","135435.60","143435.17","5.91","16.09","86.55","86.73",4,"Medium","37.08","5.91","28.77","41.1621","Moderate","Transitional","Growing"
136,"Mechanical Engineer","Energy","UK",2023,"59.59","67.62","69.75","111616.89","127044.12","13.82","11.49","24.27","88.09",2,"Medium","64.67","13.82","48.91","52.4928","Moderate","Transitional","Growing"
137,"Financial Analyst","Retail","Brazil",2026,"71.03","57.65","82.58","45464.38","50949.70","12.07","-3.17","24.47","81.80",4,"High","76.81","12.07","56.81","58.1025","High","High Risk","Growing"
